Tag,ValueCount,type
nudity,36,Budget
school,19,Budget
relationship,15,Budget
friend,13,Budget
police,13,Budget
based,10,Budget
love,10,Budget
death,9,Budget
girl,9,Budget
police,22,IMDBScore
friend,13,IMDBScore
death,12,IMDBScore
love,12,IMDBScore
based,11,IMDBScore
nudity,10,IMDBScore
relationship,10,IMDBScore
school,9,IMDBScore
girl,8,IMDBScore
nudity,30,Grossing
relationship,17,Grossing
based,12,Grossing
police,11,Grossing
death,9,Grossing
love,9,Grossing
girl,8,Grossing
friend,7,Grossing
school,7,Grossing
